id, latitude, longitude
WT1, 54.6109167, 12.6300000
WT2, 54.6055278, 12.6300000
WT3, 54.6001389, 12.6300000
WT4, 54.5947500, 12.6300000
WT5, 54.5893611, 12.6300000
WT6, 54.5839722, 12.6300000
WT7, 54.6165833, 12.6423889
WT8, 54.6111944, 12.6423889
WT9, 54.6058056, 12.6423889
WT10, 54.6004167, 12.6423889
WT11, 54.5950278, 12.6423889
WT12, 54.6203333, 12.6547500
WT13, 54.6149444, 12.6547500
WT14, 54.6095556, 12.6547500
WT15, 54.6044722, 12.6550833
WT16, 54.6235833, 12.6671389
WT17, 54.6181944, 12.6671389
WT18, 54.6128056, 12.6671389
WT19, 54.6271389, 12.6795000
WT20, 54.6217500, 12.6795000
WT21, 54.6306667, 12.6918889
