id,0
WT1,0,256.5663
WT1,1,304.34607
WT1,2,237.85129
WT1,3,9.898222
WT1,4,3.9184504
WT1,5,122.35113
WT1,6,174.69164
WT1,7,126.81028
WT1,8,152.50708
WT1,9,148.70665
WT1,10,185.97313
WT1,11,170.602
WT1,12,800.334
WT1,13,194.27794
WT1,14,721.04285
WT1,15,782.1677
WT1,16,1056.5951
WT1,17,586.94305
WT1,18,476.2426
WT1,19,648.6938
WT1,20,1124.5259
WT1,21,885.74915
WT1,22,1996.8611
WT1,23,2161.3398
WT1,24,2373.3542
WT1,25,2896.2085
WT1,26,3624.255
WT1,27,4719.83
WT1,28,5583.696
WT1,29,6915.461
WT1,30,7669.88
WT1,31,5780.812
WT1,32,7061.179
WT1,33,7481.039
WT1,34,7087.8613
WT1,35,5965.749
WT1,36,6497.38
WT1,37,5142.193
WT1,38,6163.594
WT1,39,5942.325
WT1,40,4323.7305
WT1,41,3338.797
WT1,42,2169.054
WT1,43,1489.5806
WT1,44,779.5608
WT1,45,866.36884
WT1,46,609.2626
WT1,47,567.7141
WT1,48,606.85706
WT1,49,1000.16486
WT1,50,868.34454
WT1,51,972.9264
WT1,52,710.8287
WT1,53,960.6014
WT1,54,1205.3798
WT1,55,1324.4448
WT1,56,1163.3945
WT1,57,733.1111
WT1,58,403.08545
WT1,59,159.96928
WT1,60,198.83583
WT1,61,323.77646
WT1,62,279.76328
WT1,63,424.08746
WT1,64,252.27777
WT1,65,194.76227
WT1,66,232.9613
WT1,67,238.49574
WT1,68,285.67737
WT1,69,390.05508
WT1,70,463.67807
WT1,71,449.12302
WT1,72,607.7515
WT1,73,1009.79517
WT1,74,985.2593
WT1,75,2060.5906
WT1,76,4087.6792
WT1,77,5353.16
WT1,78,7409.7026
WT1,79,10174.721
WT1,80,11628.382
WT1,81,12329.151
WT1,82,11712.949
WT1,83,10139.979
WT1,84,9518.056
WT1,85,10874.321
WT1,86,13736.291
WT1,87,15336.811
WT1,88,13533.249
WT1,89,10721.066
WT1,90,9518.235
WT1,91,10074.289
WT1,92,11241.048
WT1,93,11469.162
WT1,94,12044.327
WT1,95,12774.053
WT1,96,7687.378
WT1,97,351.8253
WT1,98,1306.5367
WT1,99,12531.397
WT1,100,19194.668
WT1,101,18357.129
WT1,102,17403.277
WT1,103,15459.925
WT1,104,12246.788
WT1,105,10600.121
WT1,106,11031.018
WT1,107,11961.958
WT1,108,12593.385
WT1,109,11785.066
WT1,110,10636.667
WT1,111,9388.336
WT1,112,8362.761
WT1,113,7357.103
WT1,114,6522.8457
WT1,115,5895.653
WT1,116,5362.2275
WT1,117,4962.2324
WT1,118,4676.855
WT1,119,4375.759
WT1,120,4292.345
WT1,121,3302.8125
WT1,122,2655.3
WT1,123,2201.1228
WT1,124,2113.7727
WT1,125,2245.6462
WT1,126,2535.688
WT1,127,2645.4
WT1,128,2787.6794
WT1,129,2867.413
WT1,130,3081.1147
WT1,131,3270.014
WT1,132,3446.7405
WT1,133,3286.9143
WT1,134,2961.4536
WT1,135,2688.3271
WT1,136,2529.2966
WT1,137,2356.866
WT1,138,2139.9875
WT1,139,1917.1412
WT1,140,1793.6353
WT1,141,1644.8634
WT1,142,1407.6533
WT1,143,1132.9343
WT1,144,931.0847
WT1,145,850.4654
WT1,146,828.04926
WT1,147,817.98346
WT1,148,828.8177
WT1,149,834.3319
WT1,150,850.6921
WT1,151,857.66626
WT1,152,832.0283
WT1,153,701.1065
WT1,154,456.0362
WT1,155,233.92062
WT1,156,141.9846
WT1,157,107.22151
WT1,158,113.64947
WT1,159,122.21174
WT1,160,161.81375
WT1,161,227.75021
WT1,162,249.53633
WT1,163,197.08945
WT1,164,122.85485
WT1,165,55.26617
WT1,166,15.2639065
WT1,167,0.7598064
WT2,0,256.5663
WT2,1,298.22842
WT2,2,261.4415
WT2,3,12.929464
WT2,4,7.354017
WT2,5,140.06433
WT2,6,199.8668
WT2,7,140.75081
WT2,8,140.99792
WT2,9,157.60745
WT2,10,189.09941
WT2,11,160.6944
WT2,12,1048.4784
WT2,13,148.40497
WT2,14,701.99945
WT2,15,888.75476
WT2,16,1087.428
WT2,17,592.39026
WT2,18,459.5857
WT2,19,600.1285
WT2,20,995.8082
WT2,21,813.8922
WT2,22,1572.0831
WT2,23,1645.5374
WT2,24,2276.3276
WT2,25,2646.791
WT2,26,3460.075
WT2,27,4264.269
WT2,28,5488.593
WT2,29,7147.0264
WT2,30,7374.4946
WT2,31,5942.364
WT2,32,7511.166
WT2,33,7201.4497
WT2,34,6938.473
WT2,35,5304.2134
WT2,36,6113.7847
WT2,37,5233.104
WT2,38,5940.9463
WT2,39,5388.051
WT2,40,4138.2104
WT2,41,3354.435
WT2,42,2053.7075
WT2,43,1264.6624
WT2,44,755.1146
WT2,45,905.2302
WT2,46,607.40204
WT2,47,598.09467
WT2,48,584.3475
WT2,49,936.0711
WT2,50,857.219
WT2,51,995.0995
WT2,52,710.8287
WT2,53,960.6014
WT2,54,1205.3798
WT2,55,1324.4448
WT2,56,1163.3945
WT2,57,733.1111
WT2,58,403.08545
WT2,59,159.96928
WT2,60,198.83583
WT2,61,323.77646
WT2,62,279.76328
WT2,63,424.08746
WT2,64,252.27777
WT2,65,194.76227
WT2,66,232.9613
WT2,67,238.49574
WT2,68,285.67737
WT2,69,390.05508
WT2,70,463.67807
WT2,71,449.12302
WT2,72,607.7515
WT2,73,1009.79517
WT2,74,985.2593
WT2,75,2060.5906
WT2,76,4087.6792
WT2,77,5353.16
WT2,78,7409.7026
WT2,79,10174.721
WT2,80,11628.382
WT2,81,12329.151
WT2,82,11712.949
WT2,83,10139.979
WT2,84,9518.056
WT2,85,10874.321
WT2,86,13736.291
WT2,87,15336.811
WT2,88,13533.249
WT2,89,10721.066
WT2,90,9518.235
